company_name,schedule_type,work_from_home,search_location,salary_rate,locations,min_yearly,max_yearly,state
Marathon TS,Full-time,True,United States,a year,Remote,80000.0,90000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,41600.0,83200.0,Remote
Insight Global,Full-time,True,United States,an hour,Remote,83200.0,135200.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,156000.0,208000.0,Remote
Mastermind.com,Full-time,False,United States,a year,Unknown,90000.0,110000.0,Unknown
State of Missouri,Full-time,False,United States,a year,"  Jefferson City, MO   ",51188.4,52200.0,MO
Get It Recruit - Information Technology,Full-time,True,United States,a year,Remote,75000.0,95000.0,Remote
Worldgate LLC,Full-time,False,United States,a year,"  Tulsa, OK   ",100000.0,120000.0,OK
Modis,Contractor,True,United States,an hour,Remote,131040.0,135200.0,Remote
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Upwork,Contractor,True,United States,an hour,Remote,31200.0,72800.0,Remote
RightPro Staffing,Full-time,True,United States,a year,Remote,100000.0,145000.0,Remote
Engage Partners Inc.,Full-time,True,United States,a year,Remote,100000.0,118000.0,Remote
Jobs Near Me,Full-time,False,United States,an hour,"  Raytown, MO   ",20800.0,41600.0,MO
Jobs Near Me,Full-time,False,United States,an hour,"  Joplin, MO   ",20800.0,41600.0,MO
Jobs Near Me,Full-time,False,United States,an hour,"  Raytown, MO   ",20800.0,41600.0,MO
Jobs Near Me,Full-time,False,United States,an hour,"  Joplin, MO   ",20800.0,41600.0,MO
Jobs Near Me,Full-time,False,United States,an hour,"  Joplin, MO   ",20800.0,41600.0,MO
Jobs Near Me,Full-time,False,United States,an hour,"  Joplin, MO   ",20800.0,41600.0,MO
Mantek Solutions,Full-time,False,United States,an hour,Unknown,62400.0,93600.0,Unknown
Microsoft,Full-time,False,United States,a year,Unknown,112000.0,218000.0,Unknown
Microsoft,Full-time,False,United States,a year,Unknown,112000.0,218000.0,Unknown
Greystar Real Estate Partners LLC,Full-time,False,United States,a year,Unknown,80000.0,100000.0,Unknown
FICO,Full-time,True,United States,a year,Remote,56000.0,77000.0,Remote
NYC ADMIN FOR CHILDREN'S SVCS,Full-time,False,United States,a year,"  Manhattan, KS   ",82506.0,103548.0,KS
General Dynamics Information Technology,Full-time,True,United States,a year,Remote,64663.0,96994.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,156000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,62400.0,124800.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,104000.0,Remote
Upwork,Full-time,True,United States,an hour,Remote,22880.0,62400.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,41600.0,104000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,52000.0,156000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,52000.0,166400.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,20800.0,31200.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,31200.0,52000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,31200.0,52000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,41600.0,62400.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,41600.0,62400.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,20800.0,41600.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,95680.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,52000.0,72800.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,156000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,93600.0,156000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,124800.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,20800.0,83200.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,20800.0,83200.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,31200.0,52000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,31200.0,52000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,62400.0,Remote
Upwork,Full-time,True,United States,an hour,Remote,72800.0,104000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,95680.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,31200.0,124800.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,31200.0,124800.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,22880.0,62400.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,95680.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,156000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,156000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,27040.0,41600.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,31200.0,124800.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,31200.0,124800.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,31200.0,124800.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,62400.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,95680.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,20800.0,62400.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,95680.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,95680.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,22880.0,62400.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,41600.0,104000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,41600.0,104000.0,Remote
Upwork,Full-time,True,United States,an hour,Remote,20800.0,24960.0,Remote
Upwork,Full-time,True,United States,an hour,Remote,20800.0,24960.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,20800.0,31200.0,Remote
Upwork,Part-time,True,United States,an hour,Remote,20800.0,41600.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,20800.0,31200.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,20800.0,31200.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,22880.0,62400.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,93600.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,93600.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,95680.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,156000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,20800.0,156000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,20800.0,52000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,104000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,156000.0,Remote
Littler Mendelson,Full-time,False,United States,a year,"  Kansas City, MO   ",100000.0,150000.0,MO
Walmart,Full-time,False,United States,a year,"  Bentonville, AR   ",80000.0,120000.0,AR
Sentara,Full-time,False,United States,a year,"  Oklahoma City, OK   ",82887.0,124331.0,OK
Sentara,Full-time,False,United States,a year,"  Oklahoma City, OK   ",82887.0,124331.0,OK
Apex Systems,Contractor,True,United States,a year,Remote,55000.0,65000.0,Remote
Zeektek,Contractor,True,United States,an hour,Remote,83200.0,93600.0,Remote
Revolut,Full-time,True,United States,a year,Remote,113000.0,165000.0,Remote
Duke Energy Corporation,Contractor,True,United States,a year,Remote,80000.0,110000.0,Remote
LeadStack Inc.,Contractor,True,United States,an hour,Remote,110240.0,118560.0,Remote
JustinBradley,Contractor,True,United States,an hour,Remote,83200.0,104000.0,Remote
CTG,Contractor,True,United States,an hour,Remote,104000.0,108160.0,Remote
Zeektek,Contractor,True,United States,an hour,Remote,76960.0,83200.0,Remote
Mastech Digital,Contractor,True,United States,an hour,Remote,104000.0,135200.0,Remote
BlueCloud,Contractor,True,United States,an hour,Remote,135200.0,145600.0,Remote
Analytic Recruiting Inc.,Full-time,False,United States,a year,Unknown,130000.0,160000.0,Unknown
Candor PS,Full-time,True,United States,a year,Remote,150000.0,200000.0,Remote
JustinBradley,Contractor,True,United States,an hour,Remote,124800.0,135200.0,Remote
Validate Health,Full-time,True,United States,a year,Remote,65000.0,130000.0,Remote
Technology Navigators,Full-time,True,United States,a year,Remote,85000.0,110000.0,Remote
LeadStack Inc.,Contractor,True,United States,an hour,Remote,124800.0,135200.0,Remote
Mavent Analytics,Full-time,True,United States,a year,Remote,200000.0,230000.0,Remote
Mavent Analytics,Full-time,True,United States,a year,Remote,200000.0,230000.0,Remote
Flexton Inc.,Full-time,True,United States,an hour,Remote,62400.0,76960.0,Remote
Revolut,Full-time,True,United States,a year,Remote,121000.0,133000.0,Remote
Mercury Insurance,Full-time,False,United States,an hour,"  Oklahoma City, OK   ",52000.0,91520.0,OK
CyberCoders,Full-time,False,United States,a year,"  Conway, AR   ",60000.0,100000.0,AR
CVS Health,Full-time,True,United States,a year,Remote,40600.0,83400.0,Remote
Medely,Full-time,True,United States,a year,Remote,164000.0,200000.0,Remote
Medely,Full-time,True,United States,a year,Remote,164000.0,200000.0,Remote
EDWARD JONES,Full-time,False,United States,an hour,"  New Bloomfield, MO   ",38126.399999999994,58656.0,MO
EDWARD JONES,Full-time,False,United States,an hour,"  Lohman, MO   ",38126.399999999994,58656.0,MO
Sentara,Full-time,False,United States,an hour,"  Oklahoma City, OK   ",40664.0,43825.6,OK
Burrell Behavioral Health,Full-time,False,United States,an hour,"  Springfield, MO   ",38126.399999999994,58656.0,MO
